rank_test_score,mean_test_score,param_clf__alpha
1,0.8181,0.01
2,0.8137,0.023713737056616554
3,0.7995,0.05623413251903491
4,0.7621,0.1333521432163324
5,0.7057,0.31622776601683794
6,0.6021,0.7498942093324559
7,0.4951,1.7782794100389228
8,0.351,4.216965034285822
9,0.2718,10.0
