rank_test_score,mean_test_score,param_clf__C,param_clf__class_weight
1,0.8377,0.31622776601683794,balanced
2,0.8374,1.0,balanced
3,0.8297,3.1622776601683795,balanced
4,0.8273,1.0,
5,0.8263,0.1,balanced
6,0.8241,3.1622776601683795,
7,0.8231,10.0,balanced
8,0.8221,10.0,
9,0.8202,0.31622776601683794,
10,0.8068,0.03162277660168379,balanced
11,0.7819,0.1,
12,0.7779,0.01,balanced
13,0.7019,0.03162277660168379,
14,0.5474,0.01,
