rank_test_score,mean_test_score,param_clf__alpha
1,0.8231,0.01
2,0.8174,0.023713737056616554
3,0.8058,0.05623413251903491
4,0.7767,0.1333521432163324
5,0.7213,0.31622776601683794
6,0.6238,0.7498942093324559
7,0.5136,1.7782794100389228
8,0.3749,4.216965034285822
9,0.283,10.0
